FECHA,casos_confirmados,Prediccion_Lineal,Error_Lineal,Prediccion_Polinomica,Error_Polinomica
2024-03-07,485,498.20947802197816,13.209478021978157,439.4761212572425,45.52387874275752
2024-03-08,439,509.23345556882157,70.23345556882157,440.8891858789457,1.889185878945682
2024-03-09,530,520.2574331156649,9.742566884335133,442.4278833493434,87.5721166506566
2024-03-10,645,531.2814106625083,113.71858933749172,444.0922136684359,200.90778633156413
2024-03-11,572,542.3053882093517,29.69461179064831,445.8821768362229,126.11782316377708
2024-03-12,513,553.3293657561951,40.3293657561951,447.79777285270467,65.20222714729533
2024-03-13,458,564.3533433030385,106.35334330303851,449.839001717881,8.16099828211901
2024-03-14,383,575.3773208498819,192.37732084988193,452.005863431752,69.005863431752
2024-03-15,366,586.4012983967253,220.40129839672534,454.2983579943176,88.2983579943176
2024-03-16,361,597.4252759435687,236.42527594356875,456.7164854055779,95.71648540557788
2024-03-17,444,608.4492534904122,164.44925349041216,459.2602456655328,15.260245665532807
2024-03-18,518,619.4732310372555,101.47323103725546,461.9296387741824,56.07036122581758
2024-03-19,577,630.4972085840989,53.49720858409887,464.72466473152656,112.27533526847344
2024-03-20,444,641.5211861309423,197.52118613094228,467.64532353756545,23.645323537565446
2024-03-21,395,652.5451636777857,257.5451636777857,470.69161519229897,75.69161519229897
2024-03-22,446,663.5691412246291,217.5691412246291,473.8635396957271,27.863539695727127
2024-03-23,418,674.5931187714725,256.5931187714725,477.1610970478498,59.16109704784981
2024-03-24,355,685.6170963183159,330.61709631831593,480.58428724866724,125.58428724866724
2024-03-25,364,696.6410738651593,332.64107386515934,484.13311029817936,120.13311029817936
2024-03-26,259,707.6650514120028,448.66505141200275,487.807566196386,228.807566196386
2024-03-27,260,718.689028958846,458.68902895884605,491.60765494328734,231.60765494328734
2024-03-28,257,729.7130065056895,472.71300650568946,495.5333765388834,238.53337653888337
2024-03-29,323,740.7369840525329,417.7369840525329,499.58473098317404,176.58473098317404
2024-03-30,375,751.7609615993763,376.7609615993763,503.76171827615923,128.76171827615923
2024-03-31,461,762.7849391462197,301.7849391462197,508.06433841783917,47.06433841783917
2024-04-01,542,773.8089166930631,231.8089166930631,512.4925914082138,29.507408591786202
2024-04-02,433,784.8328942399064,351.8328942399064,517.046477247283,84.04647724728295
2024-04-03,399,795.8568717867499,396.85687178674993,521.7259959350467,122.72599593504674
2024-04-04,383,806.8808493335932,423.88084933359323,526.5311474715053,143.53114747150528
2024-04-05,370,817.9048268804368,447.90482688043676,531.4619318566585,161.46193185665845
2024-04-06,439,828.92880442728,389.92880442728006,536.518349090506,97.51834909050604
2024-04-07,542,839.9527819741236,297.9527819741236,541.7003991730485,0.2996008269515187
2024-04-08,646,850.9767595209669,204.97675952096688,547.0080821042857,98.99191789571432
2024-04-09,487,862.0007370678104,375.0007370678104,552.4413978842174,65.4413978842174
2024-04-10,500,873.0247146146537,373.0247146146537,558.0003465128436,58.000346512843635
2024-04-11,444,884.048692161497,440.048692161497,563.6849279901646,119.68492799016462
2024-04-12,472,895.0726697083405,423.0726697083405,569.4951423161802,97.49514231618025
2024-04-13,465,906.0966472551838,441.0966472551838,575.4309894908905,110.43098949089051
2024-04-14,517,917.1206248020274,400.12062480202735,581.4924695142954,64.49246951429541
2024-04-15,591,928.1446023488706,337.14460234887065,587.6795823863949,3.320417613605059
2024-04-16,505,939.1685798957142,434.1685798957142,593.9923281071892,88.99232810718922
2024-04-17,499,950.1925574425575,451.1925574425575,600.4307066766779,101.43070667667791
2024-04-18,473,961.216534989401,488.216534989401,606.9947180948615,133.99471809486147
2024-04-19,465,972.2405125362443,507.2405125362443,613.6843623617395,148.68436236173955
2024-04-20,568,983.2644900830876,415.2644900830876,620.4996394773124,52.49963947731237
2024-04-21,553,994.2884676299311,441.2884676299311,627.4405494415797,74.44054944157972
2024-04-22,579,1005.3124451767744,426.3124451767744,634.5070922545417,55.5070922545417
2024-04-23,500,1016.3364227236179,516.3364227236179,641.6992679161984,141.69926791619844
2024-04-24,441,1027.3604002704612,586.3604002704612,649.0170764265498,208.0170764265498
2024-04-25,465,1038.3843778173048,573.3843778173048,656.4605177855957,191.4605177855957
2024-04-26,400,1049.408355364148,649.4083553641481,664.0295919933363,264.02959199333634
2024-04-27,362,1060.4323329109916,698.4323329109916,671.7242990497716,309.7242990497716
2024-04-28,477,1071.456310457835,594.4563104578349,679.5446389549014,202.54463895490142
2024-04-29,472,1082.4802880046782,610.4802880046782,687.4906117087261,215.49061170872608
2024-04-30,428,1093.5042655515217,665.5042655515217,695.5622173112453,267.56221731124526
2024-05-01,446,1104.528243098365,658.528243098365,703.7594557624591,257.7594557624591
2024-05-02,493,1115.5522206452085,622.5522206452085,712.0823270623674,219.08232706236743
2024-05-03,471,1126.5761981920518,655.5761981920518,720.5308312109706,249.53083121097063
2024-05-04,520,1137.6001757388954,617.6001757388954,729.1049682082684,209.10496820826836
2024-05-05,554,1148.6241532857387,594.6241532857387,737.8047380542608,183.80473805426084
2024-05-06,546,1159.6481308325822,613.6481308325822,746.6301407489477,200.63014074894772
2024-05-07,456,1170.6721083794255,714.6721083794255,755.5811762923295,299.5811762923295
2024-05-08,406,1181.6960859262688,775.6960859262688,764.6578446844059,358.65784468440586
2024-05-09,382,1192.7200634731123,810.7200634731123,773.8601459251768,391.86014592517677
2024-05-10,488,1203.7440410199556,715.7440410199556,783.1880800146423,295.1880800146423
2024-05-11,465,1214.7680185667991,749.7680185667991,792.6416469528026,327.6416469528026
2024-05-12,575,1225.7919961136424,650.7919961136424,802.2208467396575,227.22084673965753
2024-05-13,625,1236.815973660486,611.815973660486,811.925679375207,186.92567937520698
2024-05-14,554,1247.8399512073292,693.8399512073292,821.7561448594512,267.7561448594512
2024-05-15,498,1258.8639287541728,760.8639287541728,831.71224319239,333.71224319239
2024-05-16,581,1269.887906301016,688.8879063010161,841.7939743740235,260.7939743740235
2024-05-17,554,1280.9118838478594,726.9118838478594,852.0013384043515,298.0013384043515
2024-05-18,610,1291.935861394703,681.9358613947029,862.3343352833742,252.33433528337423
2024-05-19,688,1302.9598389415462,614.9598389415462,872.7929650110917,184.79296501109172
2024-05-20,722,1313.9838164883897,591.9838164883897,883.3772275875036,161.37722758750363
2024-05-21,591,1325.007794035233,734.007794035233,894.0871230126104,303.0871230126104
2024-05-22,518,1336.0317715820765,818.0317715820765,904.9226512864117,386.9226512864117
2024-05-23,514,1347.0557491289198,833.0557491289198,915.8838124089077,401.8838124089077
2024-05-24,638,1358.0797266757634,720.0797266757634,926.9706063800982,288.97060638009816
2024-05-25,713,1369.1037042226067,656.1037042226067,938.1830331999835,225.18303319998347
2024-05-26,765,1380.12768176945,615.12768176945,949.5210928685633,184.5210928685633
2024-05-27,842,1391.1516593162935,549.1516593162935,960.984785385838,118.984785385838
2024-05-28,767,1402.1756368631368,635.1756368631368,972.5741107518071,205.5741107518071
2024-05-29,707,1413.1996144099803,706.1996144099803,984.2890689664707,277.2890689664707
2024-05-30,683,1424.2235919568236,741.2235919568236,996.1296600298292,313.1296600298292
2024-05-31,706,1435.2475695036671,729.2475695036671,1008.0958839418823,302.09588394188233
2024-06-01,861,1446.2715470505104,585.2715470505104,1020.1877407026301,159.1877407026301
2024-06-02,968,1457.295524597354,489.29552459735396,1032.4052303120725,64.40523031207249
2024-06-03,967,1468.3195021441973,501.31950214419726,1044.7483527702095,77.74835277020952
2024-06-04,874,1479.3434796910406,605.3434796910406,1057.2171080770413,183.2171080770413
2024-06-05,952,1490.367457237884,538.3674572378841,1069.8114962325676,117.8114962325676
2024-06-06,871,1501.3914347847274,630.3914347847274,1082.5315172367882,211.5315172367882
2024-06-07,846,1512.415412331571,666.4154123315709,1095.377171089704,249.377171089704
2024-06-08,1064,1523.4393898784142,459.4393898784142,1108.348457791314,44.348457791314104
2024-06-09,1175,1534.4633674252577,359.46336742525773,1121.445377341619,53.55462265838105
2024-06-10,1334,1545.487344972101,211.48734497210103,1134.6679297406185,199.33207025938145
2024-06-11,1062,1556.5113225189446,494.51132251894455,1148.016114988313,86.01611498831289
2024-06-12,994,1567.5353000657879,573.5353000657879,1161.4899330847015,167.48993308470153
2024-06-13,889,1578.5592776126311,689.5592776126311,1175.089384029785,286.0893840297849
2024-06-14,1014,1589.5832551594747,575.5832551594747,1188.814467823563,174.81446782356306
